english,translation,category,difficulty
Hello,Hallo,Greetings,beginner
Good morning,Guten Morgen,Greetings,beginner
Good afternoon,Guten Tag,Greetings,beginner
Good evening,Guten Abend,Greetings,beginner
Please,Bitte,Greetings,beginner
Thank you,Danke,Greetings,beginner
You're welcome,Gern geschehen,Greetings,beginner
Excuse me,Entschuldigung,Greetings,beginner
I'm sorry,Es tut mir leid,Greetings,beginner
My name is...,Ich heiße...,Greetings,beginner
What's your name?,Wie heißt du?,Greetings,beginner
Nice to meet you,Schön, Sie kennenzulernen,Greetings,beginner
How are you?,Wie geht es Ihnen?,Greetings,beginner
I'm fine,Mir geht es gut,Greetings,beginner
Goodbye,Auf Wiedersehen,Greetings,beginner
See you later,Bis später,Greetings,beginner
Have a good day,Schönen Tag noch,Greetings,beginner
Do you speak English?,Sprechen Sie Englisch?,Greetings,intermediate
I don't speak German well,Ich spreche nicht gut Deutsch,Greetings,intermediate
Can you help me?,Können Sie mir helfen?,Greetings,intermediate
I would like...,Ich möchte...,Food & Dining,beginner
The menu please,Die Speisekarte, bitte,Food & Dining,beginner
What do you recommend?,Was empfehlen Sie?,Food & Dining,beginner
I'm vegetarian,Ich bin Vegetarier/in,Food & Dining,beginner
I'm allergic to...,Ich bin allergisch gegen...,Food & Dining,intermediate
The check please,Die Rechnung, bitte,Food & Dining,beginner
How much is this?,Wie viel kostet das?,Food & Dining,beginner
Is service included?,Ist der Service inbegriffen?,Food & Dining,intermediate
Can I have this to go?,Kann ich das zum Mitnehmen haben?,Food & Dining,intermediate
Do you have a children's menu?,Haben Sie eine Kinderkarte?,Food & Dining,intermediate
I need a table for two,Ich brauche einen Tisch für zwei Personen,Food & Dining,beginner
Can we sit outside?,Können wir draußen sitzen?,Food & Dining,intermediate
What's the special today?,Was ist das Tagesgericht?,Food & Dining,intermediate
Is this spicy?,Ist das scharf?,Food & Dining,beginner
Can I have water please?,Kann ich bitte Wasser haben?,Food & Dining,beginner
The food is delicious,Das Essen ist köstlich,Food & Dining,beginner
Can you bring me the wine list?,Können Sie mir die Weinkarte bringen?,Food & Dining,intermediate
I'd like to make a reservation,Ich möchte eine Reservierung machen,Food & Dining,intermediate
Do you accept credit cards?,Akzeptieren Sie Kreditkarten?,Food & Dining,beginner
Can I have the recipe?,Kann ich das Rezept haben?,Food & Dining,intermediate
Where is the bus station?,Wo ist der Busbahnhof?,Transport,beginner
How much is a ticket to...?,Wie viel kostet eine Fahrkarte nach...?,Transport,beginner
What time does the train leave?,Wann fährt der Zug ab?,Transport,beginner
Where is platform number...?,Wo ist Gleis Nummer...?,Transport,intermediate
I need a taxi,Ich brauche ein Taxi,Transport,beginner
Take me to the airport,Bringen Sie mich zum Flughafen,Transport,beginner
How long does it take?,Wie lange dauert es?,Transport,beginner
